Cotizacion 1,Cotizacion 2,Dato Aleatorio 1,Dato Aleatorio 2,Dato Aleatorio 3,Dato Aleatorio 4,Dato Aleatorio 5,Dato Aleatorio 6,Dato Aleatorio 7,Dato Aleatorio 8,Dato Aleatorio 9,Dato Aleatorio 10,Dato Aleatorio 11,Dato Aleatorio 12,Dato Aleatorio 13,Dato Aleatorio 14,Dato Aleatorio 15,Dato Aleatorio 16,Dato Aleatorio 17,Dato Aleatorio 18,Dato Aleatorio 19,Dato Aleatorio 20,Dato Aleatorio 21,Dato Aleatorio 22,Dato Aleatorio 23,Dato Aleatorio 24,Dato Aleatorio 25,Dato Aleatorio 26,Dato Aleatorio 27,Dato Aleatorio 28,Dato Aleatorio 29,Dato Aleatorio 30
24000,18000,40739,96149,60178,78580,58965,85268,73095,45251,53968,61825,38548,36341,75282,28515,44087,93012,42959,33830,89499,40494,87590,79926,23605,34423,60124,18626,98732,37486,46331,34159
26000,20000,36209,21447,96268,37469,92534,79952,28749,92909,45077,39600,78221,89681,62801,86695,26618,85247,97018,70044,71574,89160,55387,55633,72388,19137,50897,96515,94790,53258,61098,66012
30000,30000,30116,20499,85726,79016,15882,54563,78217,99523,49775,52706,52265,61330,24465,39904,23446,87015,42105,88948,42675,15835,30823,92654,96297,44992,30032,92065,94557,72716,41128,74305
33000,35000,35045,54041,85111,61233,35224,54752,24045,53729,73144,34222,55701,83416,18326,74935,63867,46390,15877,84202,87267,33646,61015,18317,70501,59921,67797,70390,86260,96494,46556,32106
38000,90000,41327,46315,49565,81708,45825,17567,35116,30734,63570,56139,66287,48313,18659,58790,66028,71116,63353,52045,55563,92360,30339,59980,68309,94369,50294,31645,43690,97768,36876,73123
40000,130000,50709,16299,37884,73232,85740,31121,33667,57429,61097,56302,21727,61900,75289,83580,75101,28161,98788,86051,26332,52335,18491,59115,42043,81917,58827,69144,16407,25748,23949,23720
28000,25000,58617,19994,32199,49409,43885,16674,90057,56337,39503,83159,65717,93840,42594,90148,42200,47152,99585,41627,34177,84351,15706,76646,48635,88690,18516,28382,88568,77785,66962,52661
22000,12000,75139,96163,75038,34324,55056,91411,89205,55325,17779,23646,47427,49695,19763,20636,76465,95171,98308,30198,83447,17429,30728,58158,94315,49235,34751,19025,73560,91050,86206,36120
25000,5000,41905,22489,72786,23738,18203,81275,42302,98600,15755,28543,31692,45225,25828,92129,54148,35836,66567,84521,72104,56950,21997,70963,95691,93975,45373,58226,62340,37738,39099,34790
25000,5000,79148,47355,64294,39054,75241,82081,26283,77514,54263,37785,46625,64156,62588,17892,97928,81543,72913,44475,99335,75654,75408,62631,48132,34122,45270,94380,32794,89231,27716,73655
25000,5000,87603,88805,93015,44709,17244,44140,45935,23433,70087,93353,39918,92209,26221,36672,35698,70648,17637,34403,95730,83143,73097,64316,30366,38956,25386,84711,34881,88606,67611,74643
25000,5000,57919,83367,49178,15363,83619,24327,87534,24111,57281,46406,56136,42829,26211,20812,57470,41331,87778,18681,19951,92527,53523,74342,87107,78879,79817,89710,64703,56662,53885,62374
25000,5000,98521,92355,27665,25358,36584,85663,46624,78753,66482,66428,67409,95908,28569,15654,66660,25763,57025,57292,43333,46099,40163,30504,77580,73560,80184,18443,59354,97234,68144,57907
25000,5000,98400,16996,15534,18240,23521,38331,28440,95583,69857,38777,30577,40938,52860,69633,68910,84444,97464,20629,36673,54385,32718,83593,72889,97800,94693,36395,93462,30123,80220,65071
45000,22000,73446,59387,51132,87201,65017,38004,61501,88620,32400,72939,96731,74164,86558,32143,50450,34187,43742,92814,55870,50919,98767,41660,94553,83685,52879,25725,29390,40616,22837,49812
45000,48000,67428,18089,51110,60689,48541,25492,16269,36751,55115,68026,42689,69530,60337,70934,71463,26957,26831,23417,86101,75782,54619,52196,54236,39660,64597,48461,42307,26182,64355,64570
38000,9000,62894,35659,73754,16936,44063,69797,22868,31453,29249,44553,26154,83199,67311,82334,48757,19379,61762,49765,37821,86116,27126,80938,19150,16168,54132,56115,39502,77013,62299,65901
