ID,Cotizacion 1,Cotizacion 2
407,8700000,19600000
321,9800000,17000000
406,19800000,17000000
49,3450000,15600000
351,32800000,14800000
133,4690000,13450000
251,3500000,12000000
214,6200000,9800000
352,19600000,9800000
247,4800000,8900000
417,1980000,8700000
497,6090000,7900000
314,5200000,7880000
414,18700000,7800000
509,2670000,7690000
244,1800000,7500000
245,6580000,7500000
272,62000000,7300000
270,5800000,6900000
313,6500000,6890000
319,3200000,6800000
320,1900000,6790000
108,3200000,6790000
254,2890000,6700000
249,1800000,6500000
394,8560000,6300000
47,1380000,5900000
411,6700000,5800000
206,2800000,5600000
315,3800000,5600000
408,4320000,5600000
248,3200000,5000000
207,1340000,4800000
205,3800000,4800000
350,18300000,4800000
70,980000,4768988
322,1390000,4700000
259,1870000,4700000
318,3890000,4700000
424,5840000,4600000
105,1920000,4560000
447,430000,4500000
385,980000,4500000
255,850000,4300000
252,2100000,4200000
440,7960000,3933000
200,3200000,3890000
382,3210000,3890000
449,6300000,3800000
325,1470000,3780657
327,2200000,3723400
413,420000,3700000
323,1200000,3700000
422,3180000,3700000
242,1980000,3689000
107,6400000,3670000
395,2830000,3600000
343,2800000,3570000
76,1540000,3567666
372,16800000,3500000
369,980000,3460000
441,15920000,3456000
125,3980000,3450000
77,950000,3444670
253,1800000,3400000
463,2680000,3300000
439,3280000,3300000
134,3870000,3300000
398,3870000,3300000
100,4300000,3300000
478,3100000,3270000
479,7680000,3260000
308,3790000,3256000
258,980000,3200000
339,980000,3200000
548,3100000,3200000
353,3200000,3200000
549,6100000,3200000
431,6780000,3200000
519,2680000,3100000
528,2680000,3100000
529,2680000,3100000
486,6360000,3100000
508,7670000,3100000
538,8200000,3100000
471,8290000,3100000
495,12180000,3100000
506,14120000,3100000
537,16400000,3100000
324,1380000,2980777
507,2670000,2980000
487,12720000,2950000
257,990000,2900000
364,1970000,2900000
498,3045000,2900000
496,3180000,2900000
135,1470000,2800000
312,3180000,2789000
410,810000,2780000
48,680000,2700000
109,1340000,2700000
146,2965000,2600000
204,4800000,2600000
53,670000,2500000
149,970000,2500000
328,1870000,2500000
129,1300000,2450000
437,1870000,2400000
580,2890000,2400000
307,3980000,2345000
302,570000,2340000
286,670000,2300000
163,850000,2300000
281,1180000,2290000
150,580000,2200000
396,980000,2200000
215,1380000,2200000
199,1480000,2200000
354,3890000,2200000
377,12800000,2200000
434,7600000,2100000
510,4780000,1980000
152,410000,1900000
399,1320000,1900000
527,1380000,1900000
514,2180000,1900000
515,2180000,1900000
517,2180000,1900000
523,2690000,1900000
483,2980000,1900000
485,2980000,1900000
494,2980000,1900000
502,3180000,1900000
503,3180000,1900000
505,3180000,1900000
558,4100000,1900000
545,4180000,1900000
547,4180000,1900000
559,9100000,1900000
216,980000,1890000
421,1980000,1890000
412,940000,1800000
256,1200000,1800000
467,1690000,1800000
397,1800000,1800000
460,4100000,1800000
474,8700000,1800000
461,9100000,1800000
415,217800,1700000
218,970000,1700000
273,1280000,1700000
151,1420000,1700000
347,1800000,1700000
201,2200000,1700000
433,4980000,1700000
35,387500,1678000
19,1870000,1645000
438,640000,1634000
569,1980000,1580000
183,480000,1568000
285,1200000,1500000
102,1280000,1500000
154,1380000,1500000
267,2980000,1500000
309,2809000,1490000
570,980000,1400000
138,1680000,1400000
634,1980000,1400000
661,1980000,1400000
362,3180000,1400000
59,1550000,1378570
182,480000,1346000
566,480000,1345000
124,1430000,1300000
117,980000,1222990
376,7380000,1220000
79,870000,1200667
601,98000,1200000
442,280000,1200000
423,438000,1200000
176,870000,1200000
5,900000,1200000
202,980000,1200000
284,1890000,1200000
46,1920000,1200000
610,2890000,1200000
645,2890000,1200000
632,5980000,1200000
659,5980000,1200000
418,6180000,1156000
45,1340000,1100000
80,1470000,1050000
390,2980000,995000
356,720000,990000
189,1200000,989000
291,1240000,989000
181,1640000,980666
349,420000,980000
84,480000,980000
85,480000,980000
177,620000,980000
32,790000,980000
2,900000,980000
158,980000,980000
222,980000,980000
420,2290000,980000
126,2980000,980000
378,1280000,976000
468,80000,960000
112,1350000,900000
162,1680000,900000
435,1870000,900000
448,2180000,900000
660,6980000,900000
379,7800000,900000
71,1450000,890776
443,380000,890000
409,530000,890000
178,610000,890000
41,620000,890000
232,620000,890000
37,670000,890000
36,690000,890000
223,850000,890000
31,870000,890000
342,920000,890000
401,980000,890000
300,1190000,890000
299,1200000,890000
261,1800000,890000
380,3280000,890000
366,3790000,890000
383,287000,880000
4,900000,880000
11,900000,880000
373,3970000,880000
179,710000,879999
419,4820000,879000
175,630000,870000
190,1100000,870000
274,1200000,870000
1,1800000,860000
235,1100000,845000
227,580000,840000
228,580000,840000
9,520000,830000
165,280000,800000
132,950000,800000
633,6980000,800000
83,1680000,798000
144,670000,790000
3,900000,790000
174,640000,789000
74,1300000,789000
119,880000,788999
123,3380000,788223
142,380000,788000
81,1300000,787000
168,580000,780000
317,850000,780000
346,850000,780000
38,1850000,780000
310,1920000,777000
57,480000,770000
6,900000,770000
58,1850000,770000
180,740000,768000
68,380000,756980
78,690000,756000
367,3790000,755000
241,480000,750000
250,850000,750000
288,950000,750000
33,1800000,750000
427,680000,740000
226,1690000,740000
51,870000,730000
370,1480000,730000
565,780000,714000
140,380000,709000
103,380000,700000
155,480000,700000
131,840000,700000
170,850000,700000
234,1190000,700000
169,480000,690000
287,480000,690000
361,520000,690000
66,1240000,689432
122,520000,689000
193,870000,689000
139,380000,680000
156,680000,680000
426,870000,680000
212,980000,680000
187,940000,679000
188,940000,678000
115,980000,678000
72,850000,677000
587,520000,670000
104,1280000,670000
136,1300000,670000
159,1480000,670000
297,620000,660000
89,670000,658000
69,430000,657890
92,1020000,657000
276,860000,650000
552,910000,650000
266,980000,650000
280,980000,650000
374,2100000,643000
161,870000,640000
8,900000,640000
12,1200000,640000
501,180000,600000
535,180000,600000
540,280000,600000
553,280000,600000
480,320000,600000
499,380000,600000
511,380000,600000
533,1690000,600000
561,580000,579000
578,580000,579000
595,580000,579000
609,980000,579000
75,650000,578999
113,650000,570000
118,670000,570000
64,480000,567223
171,420000,560000
298,630000,560000
231,680000,560000
571,1890000,560000
65,860000,557890
292,580000,556000
91,965000,555000
473,280000,550000
10,520000,550000
224,580000,550000
381,640000,550000
400,870000,550000
436,870000,550000
618,920000,550000
56,1300000,550000
99,1380000,548000
531,57800,500000
164,180000,500000
166,180000,500000
520,257800,500000
532,280000,500000
551,420000,500000
542,480000,500000
67,320000,498000
429,350000,490000
30,590000,490000
329,210000,489000
293,580000,489000
198,920000,489000
268,2400000,489000
363,2800000,489000
94,470000,488000
464,257800,480000
522,280000,480000
40,475000,480000
375,480000,480000
579,780000,480000
209,860000,480000
472,980000,480000
334,3500000,477000
238,820000,468000
63,670000,467907
326,1580000,466909
114,340000,460000
416,412000,460000
13,900000,460000
230,3800000,460000
616,520000,459000
90,970000,458000
62,280000,456323
237,520000,456000
82,850000,456000
290,950000,456000
145,970000,456000
98,390000,455500
303,430000,454000
524,80000,450000
513,180000,450000
516,478000,450000
425,480000,450000
563,640000,450000
220,850000,450000
371,890000,450000
283,850000,440000
617,870000,440000
368,2850000,440000
615,490000,439000
341,850000,436000
636,2980000,430000
544,380000,400000
130,650000,400000
512,80000,390000
598,390000,390000
602,2980000,390000
663,2980000,390000
167,320000,380000
225,940000,380000
536,47800,360000
87,380000,355789
504,57800,350000
173,320000,350000
239,320000,350000
101,850000,348000
120,360000,346000
184,360000,345000
185,360000,345000
127,850000,345000
116,870000,344677
192,680000,344444
194,320000,344000
86,380000,344000
97,410000,344000
147,5020000,344000
289,90000,340000
355,480000,340000
203,850000,340000
644,870000,340000
662,980000,340000
263,2840000,340000
584,640000,338000
590,640000,338000
597,640000,338000
612,640000,338000
656,96000,330000
445,120000,330000
555,120000,330000
628,180000,330000
229,380000,330000
564,390000,330000
217,850000,330000
488,870000,330000
7,900000,330000
210,2180000,330000
567,2980000,330000
384,4780000,330000
432,7340000,330000
470,47800,320000
477,51200,320000
459,97800,320000
197,380000,320000
585,380000,320000
42,410000,320000
233,630000,320000
648,640000,320000
295,4600000,307000
546,47800,300000
493,57800,300000
490,80000,300000
534,80000,300000
557,97800,300000
640,148000,300000
667,148000,300000
446,180000,300000
482,180000,300000
525,180000,300000
613,390000,300000
484,478000,300000
635,980000,300000
600,1980000,300000
88,970000,299777
526,47800,290000
444,57800,290000
541,57800,290000
500,80000,290000
469,180000,290000
476,180000,290000
651,180000,290000
638,240000,290000
665,240000,290000
530,257800,290000
621,280000,290000
153,390000,290000
365,620000,290000
629,680000,290000
137,850000,290000
624,870000,290000
657,870000,290000
294,460000,289000
61,870000,289000
454,910000,289000
278,870000,287680
491,180000,280000
619,210000,280000
614,290000,280000
649,290000,280000
592,380000,280000
453,420000,280000
236,650000,280000
316,3850000,280000
345,3850000,280000
141,380000,279000
282,870000,278000
157,290000,267000
466,280000,260000
196,380000,260000
556,9320000,260000
73,480000,256000
457,120000,250000
359,380000,250000
335,420000,247000
240,280000,245000
562,180000,240000
611,180000,240000
650,190000,240000
639,240000,240000
666,240000,240000
95,580000,238000
186,980000,236000
93,590000,234000
637,280000,230000
664,280000,230000
646,340000,230000
428,387000,230000
581,387000,230000
96,420000,230000
128,480000,228000
195,380000,223000
301,580000,222000
452,57800,220000
465,57800,220000
575,148000,220000
573,240000,220000
604,280000,220000
582,310000,220000
626,490000,220000
643,580000,220000
599,780000,220000
296,850000,220000
275,950000,220000
589,980000,220000
246,3850000,220000
568,290000,214000
607,42600,210000
360,420000,210000
304,430000,210000
305,520000,207000
243,850000,200000
492,2980000,200000
458,9320000,200000
392,865000,197000
606,240000,190000
143,270000,190000
455,280000,190000
627,290000,190000
191,380000,190000
647,390000,190000
642,420000,190000
306,520000,190000
160,680000,190000
655,680000,190000
262,870000,190000
311,890000,190000
631,1280000,190000
658,1280000,190000
605,2480000,190000
572,280000,180000
603,280000,180000
357,390000,180000
148,590000,178000
121,370000,170000
583,180000,167000
560,420000,155000
577,420000,155000
588,420000,155000
594,420000,155000
608,420000,155000
554,80000,150000
623,190000,140000
653,290000,140000
574,240000,130000
358,490000,130000
481,80000,120000
652,120000,120000
430,320000,120000
539,920000,120000
521,57800,100000
543,80000,100000
172,80000,98000
596,180000,98000
586,290000,98000
591,290000,98000
668,46200,90000
456,80000,90000
475,80000,90000
622,97000,90000
625,98000,90000
654,180000,90000
620,198000,90000
641,462000,90000
331,320000,89000
630,96000,80000
576,428000,80000
550,57800,30000
391,4870000,2700000
28,1980000,2380000
402,360000,440000
16,1980000,1638000
20,1270000,2166640
21,2930000,1749583
22,27800,19240
23,8500,9620
24,147800,297180
25,27800,24388
26,19800,21450
34,1870000,1810380
55,890000,702000
213,2100000,1326000
219,480000,442000
333,695890,2015000
337,6400000,4485000
403,4300000,5525000
451,3100000,5450606
