ID,Cotizacion 1,Cotizacion 2,Cotizacion 3
14,2870000,2200000,760500
15,1870000,1345000,523250
17,1480000,1890000,3185000
18,345000,480000,500500
27,1280000,1890000,2123332.9
29,1160000,1890000,2123332.9
39,670000,350000,1473462.9
43,320000,550000,433995.9
44,3890000,5400000,5480150
50,320000,680000,163150
52,3200000,3800000,3185000
54,970000,790000,630500
60,950000,756980,1277586.7
208,1350000,900000,913383.9
211,1680000,330000,370500
221,420000,200000,104000
260,1350000,900000,913383.9
264,1380000,420000,364000
265,1870000,890000,364000
269,3200000,3465000,3250000
271,2400000,2486000,1040000
277,590000,480000,448500
279,520000,125000,104000
330,280000,489000,682500
332,480000,550000,1343462.9
336,420000,244900,433995.9
338,3800000,2580000,1274000
340,3890000,2250000,5480150
344,3200000,3650000,3120000
348,680000,890000,6240000
386,3280000,3900000,760500
387,2980000,1900000,523250
404,820000,780000,4784000
405,2130000,680000,4810000
450,3100000,3100000,5543227.3
462,2680000,3300000,3020023.5
518,2680000,3100000,3020023.5
